ontology ID	label	alternative label (LinkML:slot_name)	Notes	CURRENT CURATOR (TEMP)	REVIEW STATUS	Reported	LinkML:class_name	CATEGORY (TEMP)	term tracker item	entity type	created	parent class ID	parent class label	equivalence axiom	definition	definition source	user interface definition	comment	example of usage	contributor	curation status	editor note	see also	skos:exactMatch	skos:broadMatch	skos:narrowMatch	skos:relatedMatch
ID	AL rdfs:label@en	AL IAO:0000118@en SPLIT=|							AI IAO:0000233 SPLIT=|	TYPE	AT dc:date^^xsd:dateTime	SC % SPLIT=|		EC %	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	AL GENEPIO:0000162@en	AL rdfs:comment@en	A IAO:0000112	AI dc:contributor SPLIT=|	A IAO:0000114	A IAO:0000116 SPLIT=|	A rdfs:seeAlso SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|
GENEPIO:0001211	anatomical material	PCDS:anatomical_material	Notes extracted from retired sheet: UBERON:0000465 ?	Rhiannon		UPDATE	AMBR | B2B2B | CanCOGeNCovid19 | GRDI | HPAI | HPAIHost | Influenza | Measles | Mpox | MpoxInternational | NMLPathogenAgnostic | PathogenAgnostic | PHA4GE	anatomical entity > material anatomical entity		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the substance obtained from an anatomical part of an organism.		PCDS: A substance obtained from an anatomical part of an organism.	PCDS: An anatomical material is a substance taken from the body. If applicable, select the standardized term and ontology ID for the anatomical material from the picklist provided. Multiple values can be provided, separated by a semi-colon.	PCDS: Tissue [UBERON:0000479]; Blood [UBERON:0000178]	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			anatomical material slot	anatomical_material|anatomical material		
GENEPIO:0001214	anatomical part	PCDS:anatomical_part		Rhiannon		UPDATE	AMBR | B2B2B | CanCOGeNCovid19 | GRDI | HPAI | HPAIHost | Influenza | Measles | Mpox | MpoxInternational | NMLPathogenAgnostic | PathogenAgnostic | PHA4GE	anatomical entity > material anatomical entity		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the anatomical part of an organism.		PCDS: An anatomical part of an organism.	PCDS: An anatomical part is a structure or location in the body. If applicable, select the standardized term and ontology ID for the anatomical material from the picklist provided. Multiple values can be provided, separated by a semi-colon.	PCDS: Nasopharynx (NP) [UBERON:0001728]	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			anatomical part slot	anatomical_part|anatomical part		
GENEPIO:0100700	anatomical region	PCDS:anatomical_region	Notes extracted from retired sheet: is about BSPO:0000070 anatomical region			UPDATE	GRDI	anatomical entity > material anatomical entity		class	2023-05-18T05:09:29.167Z	GENEPIO:0100586	data field		A data field which describes a 3D anatomical region in space without well-defined compartmental boundaries.		PCDS: A 3D region in space without well-defined compartmental boundaries; for example, the dorsal region of an ectoderm.	PCDS: This field captures more granular spatial information on a host anatomical part. Select a term from the picklist.	PCDS: Dorso-lateral region [BSPO:0000080]	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-1107-9135	metadata incomplete			anatomical region slot	anatomical_region|anatomical region		
GENEPIO:0001216	body product	PCDS:body_product		Rhiannon		UPDATE	AMBR | B2B2B | CanCOGeNCovid19 | GRDI | HPAI | HPAIHost | Influenza | Measles | Mpox | MpoxInternational | NMLPathogenAgnostic | PathogenAgnostic | PHA4GE	anatomical entity > material anatomical entity		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the substance excreted/secreted from an organism.		PCDS: A substance excreted/secreted from an organism.	PCDS: Provide a descriptor if a body product was sampled. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma_griffiths@sfu.ca. If not applicable, do not leave blank. Choose a null value.	PCDS: Feces	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			body product slot	body_product|body product		
GENEPIO:0100446	animal source of food	PCDS:animal_source_of_food	Notes extracted from retired sheet: is about FOODON:00002470 food object quality			UPDATE	GRDI	anatomical entity > material anatomical entity > organism		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the animal from which the food product was derived.		PCDS: The animal from which the food product was derived.	PCDS: Provide the common name of the animal. If not applicable, leave blank. Multiple entries can be provided, separated by a comma.	PCDS: Chicken [NCBITaxon:9031]	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			food product properties slot	food_product_properties|food product properties		
GENEPIO:0001191	organism	PCDS:organism	Notes extracted from retired sheet: is about ("organism" has role "pathogen role"); OR should it be as broad as it's label: is about "organism". Also, do we use "organism" or is "is about organism"? is about OBI:0100026 organism if we have "host organism name" then this equivalent would be "pathogen organism name" or "organism name". In CANCOGEN this is pathogen organism. Broad "organism" label but we usually use this as pathogen organism. Rhiannon's concern is that on the ontology end, the ID should actually point to "pathogen organism name" which would be a subclass of "organism name" and sibbling class to "host organism name" It's looking like we will always have "data item" values but they semantically describe non-data and data classes to address the subjects and non-data related relations are applicable then.	Rhiannon, Charlie		UPDATE	AMBR | B2B2B | CanCOGeNCovid19 | GRDI | HPAI | HPAIEnviro | HPAIFood | HPAIHost | HPAIWW | Influenza | Measles | Mpox | MpoxInternational | NMLPathogenAgnostic | PathogenAgnostic | PHA4GE | WastewaterAMR | WastewaterPathogenAgnostic | WastewaterSARS-CoV-2	anatomical entity > material anatomical entity > organism		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the taxonomic name of the organism.		PCDS: The scientific name of the organism or taxon that is the focus of the study, assay, or diagnostic test.	PCDS: The target taxonomic name refers to the specific species, genus, or other taxonomic classification that the assay or diagnostic test is designed to identify, detect, or characterize. This may include the full binomial name (Genus species) or a higher taxonomic rank (e.g., genus, family) when species-level identification is not applicable. Avoid abbreviations. Search for taxonomic names here: ncbi.nlm.nih.gov/taxonomy.	PCDS: Staphylococcus aureus	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			organism slot	organism		
GENEPIO:0100451	host breed	PCDS:host_breed	Notes extracted from retired sheet: "ecotype name" is about some "ecotype" and is about some ("organism" and has role some "host role") is about EFO:0000434 ecotype			UPDATE	GRDI | HPAI | HPAIHost	anatomical entity > material anatomical entity > organism > vertebrate breed		class	2021-04-24T00:42:14Z	GENEPIO:0100628	host field		A host field which describes a specific group of domestic animals or plants having homogeneous appearance, homogeneous behavior, and other characteristics that distinguish it from other animals or plants of the same species and that were arrived at through selective breeding.		PCDS: A breed is a specific group of domestic animals or plants having homogeneous appearance, homogeneous behavior, and other characteristics that distinguish it from other animals or plants of the same species and that were arrived at through selective breeding.	PCDS: Provide the name of the breed of the host organism.	PCDS: Holstein	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			host (ecotype) slot	host (ecotype)		
GENEPIO:0100525	AMR phenotype	PCDS:amr_phenotype|PCDS:*_resistance_phenotype	Alt: ANTIBIOTIC_resistance_phenotype Notes extracted from retired sheet: is about ARO:3004299 antimicrobial phenotype			UPDATE	B2B2B	characteristic		class	2022-12-22T00:55:53.808Z	GENEPIO:0100636	antimicrobial resistance field		A data field which describes an antimicrobial resistance (AMR) phenotype, as determined by the antibiotic susceptibility measurement and testing standard for the antibiotic specified.		PCDS: The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard.	PCDS: Select a phenotype from the pick list provided.	PCDS: Susceptible antimicrobial phenotype [ARO:3004302]	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete	Dependent on the value specified in the 'antimicrobial agent name field' [GENEPIO:0100521]		AMR phenotype slot|antimicrobial resistance phenotype field|antimicrobial resistance phenotype slot	AMR phenotype|AMR_phenotype|antimicrobial resistance phenotype		
GENEPIO:0100469	phagetype	PCDS:phagetype				UPDATE	GRDI	characteristic		class	2021-04-24T00:42:14Z	GENEPIO:0100586	data field		A data field which describes the phagetype of the organism.		PCDS: The phagetype of the organism.	PCDS: Provide if known. If unknown, put 'missing'.	PCDS: 47	https://orcid.org/0000-0002-9578-0788|https://orcid.org/0000-0002-8844-9165|https://orcid.org/0000-0002-1107-9135	metadata incomplete			phagetype slot	phagetype		
